Question,Answer
*  Yüksek lisans programları hangi enstitü anabilim/anasanat dallarında yürütülebilir ve bu programların yürütülme şeklini kim belirler?,"Sorunuzu yanıtlamak için verilen yönetmelik metninden yararlanabilirim:

Yönetmeliğin 4. maddesi, lisansüstü programların hangi enstitü anabilim/anasanat dallarında yürütülebileceğini ve bu programların yürütülme şeklini kimin belirlediğini açıkça belirtir:

* **""Yükseköğretim kurumlarının yetkisinde olan tezli ve tezsiz yüksek lisans programları arasında geçişe izin hususları senatolar tarafından çıkarılan yönetmelikle düzenlenir.""**

Bu maddeye göre, lisansüstü programların hangi enstitü anabilim/anasanat dallarında yürütüleceği ve bu programların nasıl yürütüleceği **yükseköğretim kurumlarının senatosu tarafından çıkarılan yönetmelikle belirlenir.** 

Yani, her üniversitenin kendi senatosu, üniversite içinde lisansüstü programları hangi bölümlerde ve nasıl yürütüleceğine dair kararlar alır."
*  Yükseköğretim Kurulu kararı üzerine hangi koşullarda lisansüstü uzaktan öğretim programları açılabilir?,"Yükseköğretim Kurulu kararı üzerine yükseköğretim kurumlarında, **öğretim elemanı ve öğrencilerin aynı mekânda bulunma zorunluluğu olmaksızın, bilgi ve iletişim teknolojilerine dayalı olarak öğretim faaliyetlerinin planlandığı ve yürütüldüğü** lisansüstü uzaktan öğretim programları açılabilir. 

Bu, öğrencilerin fiziksel olarak kampüste bulunmadan, online platformlar aracılığıyla derslere katılmalarını, ödevlerini tamamlamalarını ve sınavlara girmelerini sağlayan bir eğitim sistemidir. 

Uzaktan öğretim programlarının açılabileceği alanlar, uzaktan öğretim yoluyla verilecek dersler ve kredi ile AKTS kredi miktarları, ders materyallerinin hazırlanması, sınavlarının yapılma şekli, yükseköğretim kurumları arasında bu amaçla yapılacak protokoller ile uzaktan öğretime ilişkin diğer hususlar Yükseköğretim Kurulu tarafından belirlenir."
*  Yüksek lisans programına başvurabilmek için hangi şartlar aranır? ,"Yüksek lisans programına başvurabilmek için Türkiye'deki yükseköğretim sisteminde bazı şartlar aranır. Bunlar:

* **Lisans Diploması:** Başvuru yapan adayın ilgili alanda lisans diplomasına sahip olması gerekir.
* **ALES Puanı:**  Genellikle yüksek lisans programlarına başvuru için ALES (Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı) puanı istenir. 
    * **ALES Puanı Taban Değeri:** Her yükseköğretim kurumu ve program için belirlenen bir ALES puanı taban değeri vardır. Bu değer genellikle 55 puandır, ancak programın zorluğuna göre değişebilir.
    * **ALES İstenmeyen Durumlar:** Konservatuvar programları, güzel sanatlar fakültelerinin özel yetenek sınavı ile öğrenci alan programları ve doktora mezunlarının yüksek lisans başvurularında ALES istenmeyebilir.
* **Yabancı Dil Puanı:** Bazı yükseköğretim kurumları, lisansüstü programlarına başvuran adaylardan yabancı dil puanı isteyebilir. Bu puanlar genellikle YÖKDİL, TOEFL veya IELTS gibi sınavlardan alınır. 
    * **Engelli Adaylar İçin İstisna:** Devlet hastanesinden alınmış sağlık raporu ile belgelenmesi şartıyla, bazı engelli adaylardan yabancı dil puanı istenmeyebilir.
* **Lisans Not Ortalaması:** Bazı yükseköğretim kurumları, ALES puanına ek olarak lisans not ortalamasını da değerlendirmeye alabilir.
* **Yazılı Değerlendirme ve/veya Mülakat:** Bazı programlar, başvuran adayların bilimsel bilgi ve becerilerini ölçmek için yazılı sınav veya mülakat yapabilir.

**Ek Bilgiler:**

* **Tezsiz Yüksek Lisans:** Tezsiz yüksek lisans programlarında ALES puanı aranmayabilir veya taban puanı senato tarafından belirlenebilir. 
* **İkinci Lisansüstü Eğitim:** İkinci lisansüstü eğitim için başvuran adaylar için de belirli şartlar geçerli olabilir. 

Yüksek lisans programına başvurmak istediğinizde, hedeflediğiniz üniversite ve programın web sitesindeki duyuruları dikkatlice incelemeniz gerekir. Her program için şartlar ve kabul kriterleri farklı olabilir."
*  ALES şartının aranmadığı yüksek lisans programları hangileridir?,"Sorunuzda verdiğiniz metin, Türkiye'de lisansüstü eğitim ve öğretimi düzenleyen Yükseköğretim Kurulu'nun yayınladığı bir yönetmelikten bir bölüm. Bu yönetmelik, yüksek lisans, doktora ve sanatta yeterlik programlarını kapsıyor.

Bu yönetmeliğe göre **ALES şartı aranmayan yüksek lisans programları** şunlardır:

* **Konservatuvar programları ile güzel sanatlar fakültelerinin sadece özel yetenek sınavı ile öğrenci kabul eden programlarının enstitülerdeki anasanat ve anabilim dalları.** Bu programlar için yalnızca yetenek sınavı geçmek yeterlidir. ALES puanı istenmez. 
* **Doktora/sanatta yeterlik/tıpta uzmanlık/diş hekimliğinde uzmanlık/veteriner hekimliğinde uzmanlık/eczacılıkta uzmanlık mezunlarının yüksek lisans programlarına başvuruları.** Bu mezunlar, halihazırda üst düzey bir eğitim almış oldukları için ALES şartı aranmaz. 

Yönetmeliğin bu kısmı, bazı yüksek lisans programları için ALES'in zorunlu olmadığını vurguluyor ve belirli durumlar için ayrıntılı açıklamalar sunuyor. Bu nedenle, hangi yüksek lisans programına başvurmak istediğinize bağlı olarak ALES şartı aranabilir veya aranmayabilir. En doğru bilgiyi ilgili üniversite veya enstitünün lisansüstü programları hakkında yayınladığı resmi duyurulardan veya web sitesinden alabilirsiniz."
*  Tezsiz yüksek lisans programlarına öğrenci kabulünde ALES puanı aranabilir mi? ,"Yönetmelikte belirtildiği gibi, **tezsiz yüksek lisans programlarına öğrenci kabulünde ALES puanı aranabilir**. Ancak, **bu tamamen yükseköğretim kurumunun kararına bağlıdır**. Yükseköğretim kurumu ALES puanı aramayı tercih etmeyebilir veya ararsa, bu durumda senato tarafından belirlenen bir taban puanı belirler. 

Özetle, **tezsiz yüksek lisans programları için ALES şartı zorunlu değildir**, ancak yükseköğretim kurumu bu şartı getirebilir."
*  Mezuniyet şartlarını yerine getirmiş adayların başvuruları nasıl değerlendirilir?,"Bu yönetmelik Türk yükseköğretim sistemine ait olduğundan, mezuniyet şartlarını yerine getirmiş adayların yüksek lisans başvurularının nasıl değerlendirildiğini bu yönetmelikten anlayabiliriz.

**Yönetmelik'te, mezun adayların başvurularının değerlendirilmesiyle ilgili olarak şu maddelere dikkat etmek gerekir:**

* **Madde 5 (3):** Mezun durumda olan/olabilecek adayların başvuruları için senato tarafından belirlenen esaslar, ALES puanının %50'den az olmamak koşuluyla ne kadar ağırlıkla değerlendirmeye alınacağı ve lisansüstü eğitim - öğretime öğrenci kabulüne dair diğer hususlar belirlenir.
* **Madde 5 (4):** Yükseköğretim kurumları yüksek lisans programlarına yalnız ALES puanı ile de öğrenci kabul edebileceği gibi ALES puanına ek olarak lisans not ortalaması, yazılı olarak yapılacak bilimsel değerlendirme ve/veya mülakat sonucunu da değerlendirmeye alabilir.

Bu maddelere göre, mezuniyet şartlarını yerine getirmiş adaylar yüksek lisans programlarına başvururken, aşağıdaki unsurlar değerlendirilmektedir:

* **ALES puanı:** Madde 5 (3)'e göre, mezun adayların ALES puanı %50'den az olmamak koşuluyla senato tarafından belirlenen bir ağırlıkla değerlendirilir.
* **Lisans not ortalaması:** Madde 5 (4)'e göre, yükseköğretim kurumları isteğe bağlı olarak lisans not ortalamasını da değerlendirmeye alabilir.
* **Yazılı bilimsel değerlendirme:** Yükseköğretim kurumları isteğe bağlı olarak yazılı olarak yapılacak bilimsel değerlendirmeyi de değerlendirmeye alabilir.
* **Mülakat:** Yükseköğretim kurumları isteğe bağlı olarak mülakat sonucunu da değerlendirmeye alabilir.

Sonuç olarak, mezuniyet şartlarını yerine getirmiş adayların yüksek lisans başvuruları, **ALES puanı, lisans not ortalaması, yazılı bilimsel değerlendirme ve mülakat gibi unsurların bir kombinasyonu** dikkate alınarak değerlendirilir. Bu unsurların her birine verilen ağırlık, senato tarafından belirlenir."
*  Yükseköğretim kurumları yüksek lisans programlarına öğrenci kabulünde ALES puanına ek olarak hangi faktörleri de değerlendirebilir?,"Türk eğitim sisteminde yüksek lisans programlarına öğrenci kabulünde ALES puanına ek olarak yükseköğretim kurumları şunları değerlendirebilir:

* **Lisans Not Ortalaması (GNO):**  Lisans eğitimi boyunca elde edilen notların ortalaması öğrencinin akademik başarısını gösterir.
* **Yazılı Bilimsel Değerlendirme:** Adayların belirli bir konuda araştırma ve analiz yapma becerilerini ölçmek için yazılı bir sınav yapılabilir.
* **Mülakat:**  Adayların araştırma deneyimleri, ilgi alanları ve hedefleri hakkında daha detaylı bilgi edinmek için sözlü bir değerlendirme yapılır.
* **Öğrenci Seçme Sınavı (ÖSS):**  Bazı yükseköğretim kurumları, özellikle sanat veya mimarlık gibi alanlarda, özel yetenek sınavları da düzenleyebilir. Bu sınavlar, adayların yaratıcılık, beceri ve yeteneklerini ölçer.
* **Yabancı Dil Bilgisi:** Bazı yüksek lisans programları için yabancı dil bilgisi şartı aranabilir. Bu durumda, adayların TOEFL veya IELTS gibi standart sınavlardan aldıkları puanlar da değerlendirme kriteri olarak kullanılabilir.

Yükseköğretim kurumlarının hangi faktörleri değerlendireceği, programın alanına, enstitünün politikalarına ve senatonun kararlarına bağlıdır.  Bu faktörlerin ağırlıkları ve kabul şartları her üniversitede farklılık gösterebilir."
*  Doktora/sanatta yeterlik/uzmanlık mezunlarının yüksek lisans programlarına başvuruları nasıl değerlendirilir?,"Sorunuz, Türk yükseköğretim sisteminde doktora/sanatta yeterlik/uzmanlık mezunlarının yüksek lisans programlarına başvurularının nasıl değerlendirildiğini soruyor.  

Lisansüstü Eğitim ve Öğretim Yönetmeliği'nin 5. maddesi bu konuya açıklık getiriyor:

* **ALES Şartı:** Bu mezunların yüksek lisans programlarına başvuruları için ALES (Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı) şartı aranmaz. 
* **Değerlendirme:** Üniversite senatoları tarafından mezun oldukları lisansüstü programa girişteki puan türü veya uzmanlık alanından bağımsız olarak, 55'ten düşük 75'ten fazla olmamak üzere bir puan belirlenir ve ilgili programın şartlarında ilan edilir. Bu puan, puan türüne bakılmaksızın ALES puanı olarak hesaplamalara dahil edilir.
* **Başvuru Alanı:** Bu adaylar daha önceden aldığı puan türü veya doktora/sanatta yeterlik/uzmanlık alanından, farklı bir alanda başvuru yapabilirler.

**Özetle,** doktora/sanatta yeterlik/uzmanlık mezunlarının yüksek lisans programlarına başvuruları, ALES şartına tabi değildir. Değerlendirmelerinde, senatolar tarafından belirlenen bir puan kullanılıp, bu puan ALES puanı olarak hesaplanır. Bu mezunlar, farklı bir alanda da yüksek lisans programlarına başvurabilirler.

Yönetmeliğin 5. maddesinin (b) bendi ve (5) numaralı fıkrası bu konuyu detaylı olarak ele almaktadır."
*  Tezli yüksek lisans programı öğrencisinin kazanması beklenen yetenekler nelerdir?,"Tezli yüksek lisans programı öğrencisinin kazanması beklenen yetenekler, Türk eğitim sistemiyle uyumlu bir şekilde, aşağıdaki gibi sıralanabilir:

**Akademik Araştırma ve Analiz:**

* **Bilimsel Araştırma Yöntemlerini Uygulama:** Teorik çerçeveleri oluşturma, literatür taraması yapma, araştırma tasarımı geliştirme, veri toplama ve analiz etme, sonuçları yorumlama ve raporlama gibi araştırma yöntemlerini etkin bir şekilde kullanabilme.
* **Kritik Düşünme ve Analiz:**  Kendi alanında mevcut bilgiyi derinlemesine ele alma, kaynakları ve bulguları eleştirel bir şekilde değerlendirme, araştırma sonuçlarını bağımsız ve objektif bir şekilde yorumlama yeteneği.
* **Problemlere Dayalı Yaklaşım:** Belirli bir araştırma problemini tanımlama, literatürdeki eksiklikleri belirleme, çözüm yolları geliştirme ve araştırma sonuçlarını uygulamaya yönelik önerilerde bulunma.

**Bilimsel Bilgi Üretimi ve Yayınlama:**

* **Bilimsel Yazım Becerileri:**  Araştırma bulgularını akademik standartlara uygun bir şekilde yazarak sunma, bilimsel makaleler ve raporlar hazırlama,  uluslararası yayınlara yönelik çalışmalar geliştirme.
* **Bilimsel Sunum ve Etkileşim:**  Araştırma bulgularını  sözlü ve yazılı olarak etkili bir şekilde sunma, akademik çevrelerdeki tartışmalara katılma, araştırma sonuçlarını paylaşma.

**Yüksek Lisans Çalışmalarına Hazırlık:**

* **Yüksek Lisans Çalışmalarına Yönelik Temel Bilgiler:**  Tez yazma süreci, araştırma etiği,  bilimsel yayın etiği, akademik yazım kuralları,  öğrenci hakları ve sorumlulukları gibi  konularda bilgi edinme.
* **Akademik Etik:**  Bilimsel araştırma ve yayınlarda etik kurallara uyma, intihalden kaçınma,  kaynak gösterme ve bilgi paylaşımı konularında bilinçli davranma.

**Diğer Yetkinlikler:**

* **Kendi Alanında Uzmanlık Kazanma:**  Seçilen uzmanlık alanında  ileri düzeyde bilgi ve beceri edinme,   alanın öncü çalışmaları ve güncel gelişmeleri takip etme.
* **Özgün Düşünme ve Yenilikçilik:**  Mevcut bilgiye eleştirel yaklaşarak yeni bakış açıları geliştirme,   alanın gelişimine katkı sağlayabilecek özgün çalışmalar üretme.
* **Çalışma Disiplini:**  Akademik çalışmalarda disiplinli bir şekilde çalışabilme,  zaman yönetimi ve planlama becerisi geliştirme.
* **Akademik Ortamda İşbirliği ve İletişim:**  Akademik çevrede etkili bir şekilde iletişim kurabilme,  araştırma projelerinde  diğer akademisyenlerle işbirliği yapma,  çalışma gruplarında  aktif olarak yer alma.

Bu yetenekler,  Türk eğitim sisteminin   eleştirel düşünme, araştırma becerileri,  özgün bilgi üretimi ve akademik etik değerlere vurgu yapma  felsefesine uygun olarak  tezli yüksek lisans programı  öğrencilerinde geliştirilmesi hedeflenen yetkinlikleri  yansıtır."
*  Tezli yüksek lisans programı hangi derslerden oluşur ve bu derslerin toplam kredisi kaçtır?,"Yönetmeliğe göre, tezli yüksek lisans programı şu derslerden oluşur:

* **En az yedi ders:**  Bu derslerin toplam kredisi,  programın toplam kredisi 21'den az olmamak koşuluyla belirlenir.
* **Bir seminer dersi:**  Seminer dersi kredisizdir, ancak başarılı veya başarısız olarak değerlendirilir. 
* **Tez çalışması:**  Tez çalışması da kredisizdir ve başarılı veya başarısız olarak değerlendirilir. 

Yani, toplam kredi sayısı, seçilen derslerin ve programın özelliklerine bağlı olarak değişiklik gösterebilir.  Yönetmelik, programın toplam 120 AKTS kredisinden oluşabileceğini ve bu kredinin en az 60 AKTS'inin bir eğitim-öğretim döneminde alınması gerektiğini belirtiyor.  

Özetle, tezli yüksek lisans programının dersleri ve toplam kredisi, programın ve üniversitenin kendi düzenlemelerine bağlı olarak değişiklik gösterebilir."
*  Tezli yüksek lisans programında öğrenci hangi dersleri seçme şansına sahiptir?,"Sorunuzu anladım. Türk eğitim sisteminde tezli yüksek lisans programında öğrencinin hangi dersleri seçme şansına sahip olduğu konusunda bilgi vereyim.

Yönetmeliğe göre, tezli yüksek lisans programındaki öğrenciler:

* **En az yedi ders** almak zorundadırlar. 
* **Bu derslerin en çok ikisi**, lisans eğitimi sırasında alınmamış olması kaydıyla, **lisans derslerinden** seçilebilir. 
* **Enstitü anabilim/anasanat dalı başkanlığının önerisi ve enstitü yönetim kurulu onayı ile** diğer yükseköğretim kurumlarında verilmekte olan derslerden **en fazla iki ders** seçilebilir. 

Özetle, öğrenciler tezli yüksek lisans programında kendi alanlarında uzmanlaşmak için  ders seçme özgürlüğüne sahiptirler. Ancak, ders seçimi için belirli kısıtlamalar da vardır.

Umarım yardımcı olmuşumdur."
*  Tezli yüksek lisans programı hangi koşullarda ikinci lisansüstü öğretim programı olarak yürütülebilir?,"Lisansüstü Eğitim ve Öğretim Yönetmeliği'nin Madde 6'sına göre, tezli yüksek lisans programı ikinci lisansüstü öğretim programı olarak yürütülebilir. Ancak, bu yönetmelik hangi koşullarda yürütülebileceğine dair ayrıntılı bilgi sunmamaktadır.

**Türk eğitim sistemi bağlamında** bu durum, bir öğrencinin zaten bir yüksek lisans derecesine sahip olması ve başka bir alanda ikinci bir tezli yüksek lisans programına devam etmek istemesi anlamına gelir. Bunun için, ilgili üniversitenin senatosu tarafından belirlenen bazı koşulların karşılanması gerekir. Bu koşullar, kişinin önceki lisansüstü çalışmalarından edinmiş olduğu bilgi ve beceriler ile yeni programın hedefleri arasındaki uyumluluğu, ilgili alanda yeterli bir araştırma konusu bulma potansiyelini ve akademik yeterliliklerini içerebilir.

**İkinci lisansüstü öğretim programına kabul şartları**, programın yürütüldüğü üniversite tarafından belirlenir ve çeşitli faktörlere bağlı olarak değişebilir. Bu faktörler, programın türü, öğrencinin önceki akademik başarısı, araştırma deneyimi, uzmanlık alanı ve akademik hedeflerini içerebilir. 

**Özetlemek gerekirse**, tezli yüksek lisans programı ikinci lisansüstü öğretim programı olarak yürütülebilir, ancak bu, ilgili üniversitenin senatosu tarafından belirlenen koşulların karşılanması ve ilgili programın kabul şartlarına uygun olması gerektiği anlamına gelir."
*  Tezli yüksek lisans programının süresi kaç yarıyıldır ve program en fazla kaç yarıyılda tamamlanır?,"Metindeki bilgiye göre,  **tezli yüksek lisans programının süresi 4 yarıyıldır** ve **program en fazla 6 yarıyılda tamamlanır**."
*  Tezli yüksek lisans programında öğrencinin yükseköğretim kurumu ile ilişiği hangi koşullarda kesilir?,"Sorunuzda belirtilen yönetmeliğe göre, Türkiye'deki yükseköğretim sisteminde tezli yüksek lisans programında öğrencinin yükseköğretim kurumu ile ilişiği kesilmesi için aşağıdaki koşulların sağlanması gerekir:

* **Dört yarıyıl sonunda öğretim planında yer alan kredili derslerini ve seminer dersini başarıyla tamamlayamayan öğrenci**
* **Dört yarıyıl sonunda yükseköğretim kurumunun öngördüğü başarı koşullarını/ölçütlerini yerine getiremeyen öğrenci**
* **Azami süreler içerisinde tez çalışmasında başarısız olan veya tez savunmasına girmeyen öğrenci**

Bu durumlar öğrencinin yüksek lisans programından başarısız sayılması ve okuldan uzaklaştırılması anlamına gelir. 

Yönetmeliğin 7. maddesinin 2. fıkrası bu konuyu açıkça belirtmektedir."
*  Yüksek lisans programından süresinden önce mezun olabilecek öğrenciler ile ilgili düzenlemeleri kim yapar?,Yüksek lisans programından süresinden önce mezun olabilecek öğrenciler ile ilgili düzenlemeleri **üniversite senatosu** tarafından kabul edilen yönetmelikle belirler.
*  Tezli yüksek lisans programında tez danışmanı ne zaman atanır ve tez konusu ne zaman belirlenir?,"Sorunuz, **Lisansüstü Eğitim ve Öğretim Yönetmeliği**'nde yer alan bilgilerden yola çıkarak cevaplanabilir. 

Yönetmeliğin 8. maddesine göre, tezli yüksek lisans programında, öğrenciye **tez danışmanı en geç birinci yarıyılın sonuna kadar atanır**. Öğrencinin danışmanıyla beraber belirlediği **tez konusu ise en geç ikinci yarıyılın sonuna kadar enstitüye önerilir**. 

Yani;

* **Tez danışmanı** birinci yarıyılın sonunda atanır. 
* **Tez konusu** ise danışmanla birlikte ikinci yarıyılın sonunda belirlenir. 

Bu konuda daha detaylı bilgiye ihtiyaç duyuyorsanız, ilgili üniversitenin lisansüstü eğitim ve öğretim yönetmeliğini inceleyebilirsiniz."
"- Yüksek lisans programlarında, öğrencinin yükseköğretim kurumu ile ilişiği hangi durumlarda kesilir?","Sorunuz için Türk yükseköğretim sistemindeki yüksek lisans programları için öğrencinin yükseköğretim kurumu ile ilişiğinin hangi durumlarda kesilebileceğini anlamak istiyorsunuz.  Metinde bu durumlar açıkça belirtilmiş:

**Yüksek lisans programlarında öğrencinin yükseköğretim kurumu ile ilişiği şu durumlarda kesilir:**

* **Kredili dersleri ve seminer dersini başarıyla tamamlayamayan veya yükseköğretim kurumunun öngördüğü başarı koşullarını/ölçütlerini yerine getiremeyen öğrenciler için:** Öğrenci, programın gerektirdiği dersleri ve diğer şartları belirtilen süre içinde yerine getiremezse, yükseköğretim kurumuyla ilişiği kesilir. 
* **Tezli yüksek lisans programında azami süreler içerisinde tez çalışmasında başarısız olan veya tez savunmasına girmeyen öğrenciler için:** Öğrenci tez çalışmasını belirtilen süre içinde tamamlayamaz veya savunmaya girmezse, yükseköğretim kurumuyla ilişiği kesilir.
* **Tezli yüksek lisans programında tezi başarısız bulunarak reddedilen öğrenciler için:** Tez jürisi tarafından tezin reddedilmesi durumunda öğrencinin yükseköğretim kurumuyla ilişiği kesilir.
* **Tezli yüksek lisans programında tezi düzeltme kararı verilen öğrencinin, düzeltme süresi içerisinde tezi yeniden savunup bu sefer de başarısız olması durumunda:** Düzeltme süresi içerisinde tezi yeniden savunup bu sefer de başarısız olması durumunda öğrencinin yükseköğretim kurumuyla ilişiği kesilir.
* **Tezsiz yüksek lisans programını tamamlama süresi olan üç yarıyıl içinde programı tamamlayamayan veya başarısız olan öğrenciler için:** Öğrenci, üç yarıyıl içinde programı tamamlayamadığı takdirde yükseköğretim kurumuyla ilişiği kesilir.

**Ek Bilgiler:**

* Bu durumlar, yükseköğretim kurumunun kendi yönetmelikleriyle de daha detaylı olarak açıklanabilir. 
* Öğrenci, bu durumlara karşı bazı haklarını kullanabilir, ancak bu hakların kullanılabilmesi için ilgili kurumun yönetmeliklerine ve yasalara göre hareket edilmesi gerekir.

Umarım bu bilgiler sorunuzu yanıtlamaya yardımcı olmuştur."
